Event.Id,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Make,Model,Amateur.Built,Number.of.Engines,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status,Total.Incidents,Damage.Score,Severe.Damage.Frequency,Damage.Score.String
20020909X01561,NYC82DA015,1982-01-01,"EAST HANOVER, NJ",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,401B,NO,2.0,BUSINESS,0.0,0.0,0.0,2.0,IMC,PROBABLE CAUSE,2.0,,0,nan
20020917X01905,DCA82AA008,1982-01-03,"ASHLAND, VA",UNITED STATES,FATAL(8),DESTROYED,CESSNA,414A,NO,2.0,BUSINESS,8.0,0.0,0.0,0.0,IMC,PROBABLE CAUSE,8.0,,0,nan
20020917X02304,LAX82FUM06,1982-01-05,"RAMONA, CA",UNITED STATES,FATAL(3),DESTROYED,NAVION,A,NO,1.0,BUSINESS,3.0,0.0,0.0,0.0,IMC,PROBABLE CAUSE,3.0,,0,nan
20020917X01764,ATL82IA029,1982-01-05,"PENSACOLA, FL",UNITED STATES,INCIDENT,MINOR,ROCKWELL,114,NO,1.0,BUSINESS,0.0,0.0,0.0,1.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X01993,FTW82DA037,1982-01-05,"LONOKE, AR",UNITED STATES,NON-FATAL,SUBSTANTIAL,PIPER,PA-24-250,NO,1.0,BUSINESS,0.0,1.0,0.0,1.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X02157,LAX82DA039,1982-01-06,"MAMMOTH LAKES, CA",UNITED STATES,NON-FATAL,SUBSTANTIAL,AEROSPATIALE,SA-316B,NO,1.0,BUSINESS,0.0,0.0,0.0,6.0,VMC,PROBABLE CAUSE,6.0,,0,nan
20020917X01757,ATL82FLG08,1982-01-06,"HILTON HEAD, SC",UNITED STATES,NON-FATAL,SUBSTANTIAL,MOONEY,M-20J,NO,1.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X02574,SEA82DA016,1982-01-08,"PULLMAN, WA",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,TU206G,NO,1.0,BUSINESS,0.0,0.0,0.0,1.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X02624,SEA82FYM08,1982-01-18,"ORCHARDS, WA",UNITED STATES,NON-FATAL,DESTROYED,BEECH,C23,NO,1.0,BUSINESS,0.0,2.0,2.0,0.0,VMC,PROBABLE CAUSE,4.0,,0,nan
20020917X01999,FTW82DA045,1982-01-18,"S.E. OF HOUMA, LA",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,180K,NO,1.0,BUSINESS,0.0,0.0,0.0,1.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X02476,MKC82FCQ08,1982-01-19,"CEDAR VALE, KS",UNITED STATES,FATAL(1),DESTROYED,MOONEY,M20F,NO,1.0,BUSINESS,1.0,0.0,0.0,0.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X01978,DEN82FTA09,1982-01-19,"WOLF PT., MT",UNITED STATES,FATAL(1),DESTROYED,CESSNA,177B,NO,1.0,BUSINESS,1.0,2.0,0.0,0.0,UNK,PROBABLE CAUSE,3.0,,0,nan
20020917X01806,CHI82DA056,1982-01-19,"NEAR LANSING, MI",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,340A,NO,2.0,BUSINESS,0.0,0.0,0.0,2.0,UNK,PROBABLE CAUSE,2.0,,0,nan
20020917X01751,ATL82FKQ10,1982-01-20,"MCCOMB, MS",UNITED STATES,FATAL(1),DESTROYED,PIPER,PA-23-250,NO,2.0,BUSINESS,1.0,0.0,0.0,0.0,IMC,PROBABLE CAUSE,1.0,,0,nan
20020917X01661,ATL82DA040,1982-01-24,"ATHENS, GA",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,177,NO,1.0,BUSINESS,0.0,0.0,0.0,1.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X01917,DEN82DA023,1982-01-26,"HAVRE, MT",UNITED STATES,NON-FATAL,SUBSTANTIAL,BELLANCA,7GCBC,NO,1.0,BUSINESS,0.0,0.0,0.0,1.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X02165,LAX82DA054,1982-01-28,"FOWLER, CA",UNITED STATES,NON-FATAL,SUBSTANTIAL,MOONEY,M20C,YES,1.0,BUSINESS,0.0,0.0,0.0,1.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X02001,FTW82DA048,1982-01-28,"S. OF MORGAN CI, LA",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,A185F,NO,1.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X01662,ATL82DA043,1982-01-28,"LOUISVILLE, KY",UNITED STATES,NON-FATAL,SUBSTANTIAL,PIPER,PA-32-260,NO,1.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X02429,MKC82DA024,1982-01-31,"MALDEN, MO",UNITED STATES,NON-FATAL,SUBSTANTIAL,BEECH,36,NO,1.0,BUSINESS,0.0,1.0,0.0,1.0,IMC,PROBABLE CAUSE,2.0,,0,nan
20020917X02581,SEA82DA024,1982-02-02,"MOSES LAKE, WA",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,U206G,NO,1.0,BUSINESS,0.0,0.0,0.0,1.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X02007,FTW82DA054,1982-02-02,"DRYDEN, TX",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,T210N,NO,1.0,BUSINESS,0.0,0.0,0.0,1.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X01923,DEN82DA029,1982-02-03,"HAYDEN, CO",UNITED STATES,NON-FATAL,DESTROYED,MITSUBISHI,MU2B-40,NO,2.0,BUSINESS,0.0,0.0,6.0,0.0,IMC,PROBABLE CAUSE,6.0,,0,nan
20020917X02009,FTW82DA056,1982-02-07,"ARTESIA, NM",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,177RG,NO,1.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X02129,FTW82FQD09,1982-02-08,"SANDERSON, TX",UNITED STATES,FATAL(1),SUBSTANTIAL,PIPER,PA-18A-150,NO,1.0,BUSINESS,1.0,0.0,0.0,0.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X02174,LAX82DA066,1982-02-09,"CARLSBAD, CA",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,310R,NO,2.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
